province_name,city_name,district_name,subdistrict_name,lat_long,avg_demand_baseline,demand_target,njop_2021_avg
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,KEBON JERUK,"-6.1944898,106.7526125",221,331.5,7452912
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,"-6.1817447,106.7411475",101,151.5,10732080
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,"-6.1674398,106.7437475",73,109.5,10994448
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,KELAPA DUA,"-6.2096648,106.7596938",129,193.5,6087962
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,"-6.2092599,106.7685908",63,94.5,4885941
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,"-6.2206765,106.7626328",84,126,4672249
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KALIDERES,KALIDERES,"-6.1361454,106.6737942",89,133.5,7412996
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KALIDERES,SEMANAN,"-6.1661992,106.6851406",58,87,4040162
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KALIDERES,TEGAL ALUR,"-6.1160682,106.6990465",30,45,3394189
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,JATIPULO,"-6.1781044,106.7940127",34,51,10053877
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,KEMANGGISAN,"-6.1896949,106.7815888",89,133.5,14346427
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,"-6.1868149,106.7950272",57,85.5,8168508
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,"-6.1834299,106.7947668",78,117,8283935
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,PALMERAH,"-6.1909942,106.7788209",187,280.5,8163560
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,SLIPI,"-6.1953579,106.7974994,16z",121,181.5,11187383
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,JOGLO,"-6.2185344,106.7037796",84,126,6082443
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,"-6.1846178,106.7023997",70,105,12902158
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,"-6.1717497,106.726377",61,91.5,8491405
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,"-6.2067147,106.7152529",25,37.5,5138371
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,"-6.1717497,106.726377",71,106.5,6786692
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,SRENGSENG,"-6.2095197,106.7373725",34,51,5930056
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,"-6.2903297,106.7803145",202,303,10425931
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,"-6.272585,106.7967672",87,130.5,9553773
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,"-6.2714748,106.7826489",191,286.5,8989131
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,CILANDAK,LEBAK BULUS,"-6.3026682,106.760906",154,231,10217271
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,CILANDAK,PONDOK LABU,"-6.3091622,106.7778865",101,151.5,6258819
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,JAGAKARSA,CIGANJUR,"-6.3334498,106.7931055",59,88.5,5033002
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,"-6.3304153,106.7903582",87,130.5,4867680
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,"-6.3233247,106.8188534",101,151.5,4138756
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,"-6.3070998,106.8395907",34,51,6539215
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,"-6.2611014,106.7961638",69,103.5,10872579
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,"-6.2566749,106.7821888",72,108,11650363
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,"-6.2453994,106.7824992",12,18,17080704
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,"-6.2461599,106.7939787",35,52.5,38089965
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,"-6.2461599,106.7939787",47,70.5,11503990
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,"-6.236067,106.8040838",21,31.5,22053565
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,SELONG,"-6.2344909,106.7977186",83,124.5,35953163
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,"-6.2264329,106.7997448",57,85.5,62870583
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,"-6.2383623,106.7636237",129,193.5,6996267
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,"-6.2297524,106.7713752",321,481.5,12273740
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,"-6.2165599,106.7781958",181,271.5,13499563
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,"-6.2539847,106.7599865",232,348,8247817
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,"-6.2445302,106.7599675",142,213,8732954
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,"-6.2757152,106.7610331",170,255,20755061
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,"-6.2640194,106.8086388",120,180,16925274
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,"-6.2334699,106.8156618",58,87,16917219
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,"-6.2502846,106.804463",141,211.5,10617120
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,"-6.2469204,106.8079192",34,51,9889834
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,"-6.2490719,106.8202182",44,66,10022252
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,PANCORAN,"-6.2452234,106.8458208",45,67.5,12245708
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,DUREN TIGA,"-6.2562247,106.8190589",132,198,12900777
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,KALIBATA,"-6.2652872,106.8215889",165,247.5,13253381
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,PANCORAN,"-6.2579473,106.826089",187,280.5,12245708
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,RAWAJATI,"-6.2588099,106.8461562",51,76.5,11301995
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,"-6.2922846,106.795393",51,76.5,11299993
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,"-6.2890659,106.8220393",45,67.5,7807255
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,"-6.3092894,106.8222448",30,45,5971423
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,"-6.2898155,106.8302999",99,148.5,9350244
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,"-6.2898155,106.8302999",87,130.5,7651286
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,"-6.2968282,106.8037331",101,151.5,7677956
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PESANGGRAHAN,BINTARO,"-6.2703887,106.7441275",122,183,5513485
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,"-6.2542967,106.7376354",101,151.5,5941635
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,"-6.2430024,106.7449223",65,97.5,4321629
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,"-6.2302037,106.7314299",53,79.5,4046297
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,"-6.2356959,106.7550027",44,66,4333012
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,GUNTUR,"-6.2073739,106.8243572",23,34.5,48404727
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,KARET KUNINGAN,"-6.2196059,106.8186392",79,118.5,28974174
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,KARET SEMANGGI,"-6.22295,106.8125454,16z",57,85.5,30001748
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,KARET KUNINGAN TIMUR,"-6.2129204,106.8185307",91,136.5,56602704
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,MENTENG ATAS,"-6.2163165,106.838252,16z",58,87,8609596
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,PASAR MANGGIS,"-6.211031,106.8328642",76,114,8093206
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,SETIABUDI,"-6.2217767,106.8128364",201,301.5,43477591
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,BUKIT DURI,"-6.2203859,106.8498798",88,132,4632528
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,"-6.2195524,106.8438734,16z",91,136.5,7203423
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,MANGGARAI,"-6.213313,106.8423478",68,102,5857921
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,MENTENG DALAM,"-6.2321394,106.8323283",111,166.5,12110582
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,TEBET BARAT,"-6.2337765,106.8399207",68,102,14387382
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,TEBET TIMUR,"-6.233711,106.8507898,16z",51,76.5,13655699
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,"-6.1724012,106.9150824",91,163.8,4337469
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,"-6.1739832,106.9384745",88,158.4,3737935
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CAKUNG,JATINEGARA,"-6.2292747,106.858665",102,183.6,4381277
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CAKUNG,PULO GEBANG,"-6.2057402,106.9356525",65,117,4117735
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,"-6.3134697,106.8866724",12,21.6,3163911
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CIPAYUNG,CEGER,"-6.3105296,106.8771275",30,54,3399748
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,"-6.3275578,106.8679627",8,14.4,3371646
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CIPAYUNG,SETU,"-6.3125997,106.8944205",23,41.4,3213540
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CIRACAS,CIBUBUR,"-6.3125997,106.8944205",22,39.6,3255418
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CIRACAS,CIRACAS,"-6.3552213,106.8645774",7,12.6,3242219
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CIRACAS,RAMBUTAN,"-6.3029647,106.8583125",5,9,4355302
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,"-6.234365,106.9078138",123,221.4,5176192
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,KLENDER,"-6.2192997,106.8916075",87,156.6,4578701
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,"-6.2351349,106.8916238",54,97.2,4730079
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,"-6.22611,106.9340332",120,216,4308909
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,BIDARA CINA,"-6.234489,106.8576812",54,97.2,8448316
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,"-6.2287349,106.8727288",84,151.2,6418876
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,"-6.2202069,106.8718438",43,77.4,5517985
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,"-6.2267199,106.8802487",57,102.6,5798972
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,"-6.2267199,106.8802487",81,145.8,6968169
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,KRAMAT JATI,CAWANG,"-6.2509199,106.8585147",56,100.8,6815459
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,KRAMAT JATI,CILILITAN,"-6.2622999,106.8547903",12,21.6,5275316
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,KRAMAT JATI,DUKUH,"-6.2945599,106.8691587",11,19.8,4730957
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,"-6.2747497,106.8477914",75,135,6010390
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,MAKASSAR,HALIM PERDANA KUSUMA,"-6.2656747,106.876009",33,59.4,2572755
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,MAKASSAR,KEBON PALA,"-6.2536499,106.8694938",17,30.6,3856209
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,MAKASSAR,PINANG RANTI,"-6.2887049,106.8765888",57,102.6,3822966
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,"-6.2063359,106.8461004",44,79.2,8543626
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,"-6.21203,106.86824,16z",91,163.8,4935564
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,"-6.2038449,106.8596638",43,77.4,5182374
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,"-6.1962299,106.8590437",35,63,6441111
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,PASAR REBO,CIJANTUNG,"-6.3222024,106.8493838",31,55.8,3464820
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,PASAR REBO,KALISARI,"-6.3386547,106.8324996",50,90,3404625
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,PASAR REBO,PEKAYON,"-6.3386547,106.8324996",72,129.6,3614036
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,PULOGADUNG,CIPINANG,"-6.2080499,106.8824088",40,72,4990532
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,PULOGADUNG,PISANGAN TIMUR,"-6.2085449,106.8724787",7,12.6,3959278
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,PULOGADUNG,PULO GADUNG,"-6.1907912,106.8740759",61,109.8,8523987
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,PULOGADUNG,RAWAMANGUN,"-6.1907912,106.8740759",20,36,8996004
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,CILINCING,CILINCING,"-6.1275799,106.9046452",15,27,3042286
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,CILINCING,KALIBARU,"-6.1023522,106.9052954",7,12.6,2812461
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,CILINCING,MARUNDA,"-6.1114332,106.9397574",12,21.6,1928900
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,"-6.1557367,106.87665",272,489.6,24257725
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,"-6.1668089,106.8935703",227,408.6,16533613
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,"-6.1668089,106.8935703",201,361.8,14418761
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,KOJA,KOJA,"-6.1602557,106.8969854",51,91.8,5133932
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,"-6.1314949,106.8890911",23,41.4,4233518
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,KOJA,TUGU UTARA,"-6.1307177,106.8908128",12,21.6,4433921
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,PADEMANGAN,ANCOL,"-6.1229628,106.8052847",111,199.8,21026983
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,"-6.1368454,106.8291793",198,356.4,9057159
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,"-6.1406326,106.832224",187,336.6,10959264
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,"-6.1145001,106.7118823,13.59z",151,271.8,11466292
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,"-6.1210072,106.7462935",104,187.2,15544851
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,PENJARINGAN,PENJARINGAN,"-6.1169414,106.6904968",202,363.6,9065373
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,PENJARINGAN,PLUIT,"-6.1096057,106.7671145",243,437.4,14857755
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,"-6.119901,106.8845499,16z",39,70.2,5578787
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,"-6.119901,106.8845499,16z",110,198,15541967
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,"-6.1512067,106.8570535",65,117,9790651
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,"-6.1276639,106.8355591",35,63,5730536
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,"-6.1795349,106.8549338",75,112.5,6705051
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,"-6.1772739,106.8627322",87,130.5,9341778
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,"-6.1909189,106.8565768",77,115.5,7417455
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,GAMBIR,CIDENG,"-6.1753224,106.7986133",102,153,22803012
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,GAMBIR,GAMBIR,"-6.1715042,106.799957",98,147,38577857
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,GAMBIR,KEBON KELAPA,"-6.1639339,106.8159633",12,18,21696349
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,"-6.1746598,106.8075337",35,52.5,23931668
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,GAMBIR,PETOJO UTARA,"-6.1653934,106.8112619,16z",33,49.5,24124494
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,JOHAR BARU,GALUR,"-6.1761749,106.8509319,16z",12,18,5848321
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,"-6.1830498,106.8455438",86,129,6829695
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,"-6.180945,106.8440819,16z",11,16.5,5845739
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,"-6.1679499,106.8551938",64,96,7643394
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,"-6.1624254,106.8356167",59,88.5,15549280
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,"-6.1624254,106.8356167",25,37.5,12922681
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,"-6.1627694,106.8241537",234,351,9944953
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,"-6.1629089,106.8635148",34,51,9052777
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,"-6.164655,106.8494719,16z",76,114,7890728
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,MENTENG,CIKINI,"-6.1920604,106.8304658",221,331.5,17583838
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,MENTENG,GONDANGDIA,"-6.1921399,106.8216488",101,151.5,47807916
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,MENTENG,KEBON SIRIH,"-6.1848649,106.8223088",141,211.5,27521250
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,MENTENG,MENTENG,"-6.1951687,106.8206045",212,318,57142794
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,MENTENG,PEGANGSAAN,"-6.2016694,106.8392108",94,141,11759444
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,"-6.1504124,106.8297767",58,87,14664161
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,"-6.15396,106.8247869,16z",43,64.5,11281937
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,"-6.1421704,106.8190507",80,120,25212400
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,"-6.1663399,106.8251294",76,114,23780442
